model,avg_return,avg_sharpe,worst_drawdown,worst_cvar
combined_ppo,384.4665148599829,0.8266809760567243,-0.7467278921779462,-0.1273845278243442
real_ppo,5.092357349837227e+38,12.554808045369544,-0.0104794404994025,-0.0024185087010297
synthetic_ppo,290.1769810951004,0.8183322336618242,-0.7699881891441529,-0.1297277249224172
