model,scenario,return,sharpe,sortino,max_drawdown,var_95,cvar_95
real_ppo,real,191188043283.9377,11.797571156150612,175.26964050560414,-0.010479440499402304,-0.001566902022802921,-0.0024061691237462646
real_ppo,volatility,2.5461786749186138e+39,14.281986881254227,589.8949683668659,-0.006217819362248855,-0.0009130911581921278,-0.0018047542091542874
real_ppo,drawdown,192222647910.42532,11.797538904401764,174.42659456603457,-0.010479440499402526,-0.0015775332362020682,-0.0024185087010297006
real_ppo,crash,229241791361.72345,11.823444988093504,176.21441169439586,-0.010479440499402304,-0.001566902022802921,-0.0024061691237462646
real_ppo,correlation,2.634724935880411e+18,13.073498296947614,287.4077309843484,-0.007420000857358833,-0.0014051575488187335,-0.0021809858157231512
synthetic_ppo,real,10.146797318024198,0.836462184962926,1.1088378110511836,-0.38729694508624557,-0.02823717584506788,-0.043242574974139074
synthetic_ppo,volatility,1386.7744970743183,0.8366946043094159,1.1091044858766776,-0.7699881891441529,-0.08471152753520364,-0.12972772492241721
synthetic_ppo,drawdown,9.603161597850207,0.8188974731573713,1.086662687565738,-0.3872969450862459,-0.02823717584506788,-0.043242574974139074
synthetic_ppo,crash,8.126225762593602,0.7630284560322346,1.008259133153429,-0.3872969450862458,-0.02895910025079364,-0.04375347837256393
synthetic_ppo,correlation,36.23422372271582,0.836578449847173,1.1089714296415476,-0.5204045341583734,-0.04235576376760182,-0.06486386246120861
combined_ppo,real,10.146797318024198,0.836462184962926,1.1088378110511836,-0.38729694508624557,-0.02823717584506788,-0.043242574974139074
combined_ppo,volatility,1858.2221658987307,0.878438316283917,1.187852061080316,-0.7467278921779462,-0.08471152753520364,-0.12738452782434426
combined_ppo,drawdown,9.603161597850207,0.8188974731573713,1.086662687565738,-0.3872969450862459,-0.02823717584506788,-0.043242574974139074
combined_ppo,crash,8.126225762593602,0.7630284560322346,1.008259133153429,-0.3872969450862458,-0.02895910025079364,-0.04375347837256393
combined_ppo,correlation,36.23422372271582,0.836578449847173,1.1089714296415476,-0.5204045341583734,-0.04235576376760182,-0.06486386246120861
